"","stuff","Chief.Engineer","Admin.Assistant-Cerk.Admin.Addistant","Director.of.Env.Projects","Director.of.Engineering","Field.Engineering","Work.Equipment.Managers-Fleet.Manager-Write.Up.Carman-Mechnical.Time.Keeping.Kiosk-Operating.Line.up.Computers","Dir.of.Signals...Comm","Signals.Supervisor-Supervisor.of.Communications-Signal.Maintainer","Communications.Technician","Dirctor.of.Structures-B.B.Supervisor-Environmental.Supervisor-Dir.of.Track.Maintenance","B.B.Gang.Member","Welding.Supervisor-Gang.Supervisors-Rail.Friction.Supervisor","Road.Master-Assistant.Road.Master","Chief.Mechanical.Officer-Mechanical.Manager-General.Foreman","System.Electrician","Mechanical.Foreman-Materials.Manager","Dir.Of.Training..Rules.and.Safety.","Assistant.Director.TRS-Chief.Security...Safety-Manager.TRS","Chief.Transportation.Officer-Director.Operations-Terminal.Superintendent-Terminal.Train.Master","Train.Master-Road.Foreman-Manager.Terminal...Train.Perf","Clerk.Administrative.Asst-Front.Desk.Clerk","Dirdctor.Transportation-Manager.of.Train.Operations","Clerks","Dispatchers","General.Counsel","Dir.of.Claims.Mgmt","Claims.Specialist-President","Chief.HR.Officer-Director.of.Human.Resources-Human.Resources.Representative","Chief.Sales...Marketing.Officer","Marketing.Managers","Controller-Dir.General.Accounting","Internal.Auditor","Asst.Dir.Gen.Acctg-AP.Manager-AP.Clerk-General.Accounting.Clerk","Car.Repair.Billing.Mgr-Inventory.Manger","Payroll.Manager-Payroll.Clerk","Dir.Revenue.Accounting","Manager.Car.Hire","Manager.Cost...Financial.Analysis","Manager.Billing...Performance","Manager.Revenue.Accounting","Revenue.Technician...Miscellaneous.Billing","Revenue.Technician...Miscellaneous.Billing.1","Revenu.Technician...Utility","Chief.Procurement.Officer","Procurement.Manager","Manager.IT","Manager.Contract.Admin-Manager.Real.Estate","VP.Operations","VP.Finance"
"1","TRIP System (Crew Calling)","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
"2","EXpressyards","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","RailInc ","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"4","Powertrack","0",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0
"5","Careers Web Application","0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Oracle E-1","1",0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"7","SAP BI","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0
"8","SAP Widgets","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"9","Front Door Security Software","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10","TMDS - View client","0",1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"11","TMDS - Mobile client","1",0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"12","TSS/EXtra","0",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"13","Revenue (AS400)","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"14","ShowCase","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"15","Hyperterm","0",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","M-Files","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"17","Car Hire","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"18","Local/UP Billing","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"19","Demurrage","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
"20","Train Performance","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
"21","MaxAccel","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Discovery Manager","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Microsoft Office - Project","1",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Microsoft Office - Visio","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Microsoft - Intune","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","SAP - Live Office","?",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
"27","PDF Writer (Bluebeam Revue)","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
